encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,5x5,0,3352.2339086404954,16,88,0
basic,1,uniform,5x5,1,3688.8257677719903,17,85,0
basic,1,uniform,5x5,2,4057.0222102058697,18,86,0
basic,1,uniform,5x5,3,4435.717004396128,19,115,0
basic,1,uniform,5x5,4,1453.2177071896426,10,42,0
basic,1,uniform,5x5,5,2161.749390817474,13,72,0
basic,1,uniform,5x5,6,5345.797845001343,20,129,0
basic,1,uniform,5x5,7,4439.697004396128,19,87,0
basic,1,uniform,5x5,8,1664.8870764718827,11,45,0
basic,1,uniform,5x5,9,5335.845845001343,20,120,0
basic,1,center_biased,5x5,0,5345.0798450013435,20,91,0
basic,1,center_biased,5x5,1,5342.407845001343,20,84,0
basic,1,center_biased,5x5,2,1633.7759392476157,14,750,0
basic,1,center_biased,5x5,3,5763.313265324378,21,117,0
basic,1,center_biased,5x5,4,3035.5877283857367,15,66,0
basic,1,center_biased,5x5,5,3354.161908640496,16,70,0
basic,1,center_biased,5x5,6,4057.6422102058705,18,68,0
basic,1,center_biased,5x5,7,1444.2357071896427,10,41,0
basic,1,center_biased,5x5,8,4055.234210205871,18,99,0
basic,1,center_biased,5x5,9,5768.395265324378,21,133,0
basic,1,edge_biased,5x5,0,6217.299427301155,22,117,0
basic,1,edge_biased,5x5,1,3350.6859086404957,16,91,0
basic,1,edge_biased,5x5,2,4060.4822102058697,18,79,0
basic,1,edge_biased,5x5,3,7180.780815750326,24,141,1
basic,1,edge_biased,5x5,4,4434.537004396127,19,157,0
basic,1,edge_biased,5x5,5,5346.771845001343,20,93,0
basic,1,edge_biased,5x5,6,5345.161845001342,20,97,0
basic,1,edge_biased,5x5,7,3695.217767771989,17,71,0
basic,1,edge_biased,5x5,8,3691.699767771989,17,96,0
basic,1,edge_biased,5x5,9,3695.9517677719887,17,110,0
basic,1,corners,5x5,0,4440.459004396127,19,113,0
basic,1,corners,5x5,1,5341.989845001344,20,101,0
basic,1,corners,5x5,2,4056.5982102058697,18,115,0
basic,1,corners,5x5,3,3693.0217677719893,17,102,0
basic,1,corners,5x5,4,17999.428300429296,25,88,1
basic,1,corners,5x5,5,5343.879845001344,20,151,0
basic,1,corners,5x5,6,3688.011767771989,17,125,0
basic,1,corners,5x5,7,5346.933845001343,20,83,0
basic,1,corners,5x5,8,5340.883845001343,20,134,0
basic,1,corners,5x5,9,4434.685004396127,19,95,0
basic,2,uniform,5x5,0,2454.8759086404953,16,850,0
basic,2,uniform,5x5,1,5770.175265324378,21,75,0
basic,2,uniform,5x5,2,567.7868396586982,6,19,0
basic,2,uniform,5x5,3,4056.1162102058706,18,70,0
basic,2,uniform,5x5,4,3360.413908640496,16,55,0
basic,2,uniform,5x5,5,7182.358815750325,24,68,1
basic,2,uniform,5x5,6,3696.51976777199,17,61,0
basic,2,uniform,5x5,7,4057.8242102058703,18,60,0
basic,2,uniform,5x5,8,4059.1742102058697,18,69,0
basic,2,uniform,5x5,9,6219.365427301155,22,92,0
basic,2,center_biased,5x5,0,5344.207845001343,20,65,0
basic,2,center_biased,5x5,1,6216.9514273011555,22,70,0
basic,2,center_biased,5x5,2,3355.8399086404966,16,55,0
basic,2,center_biased,5x5,3,709.4749609703168,7,27,0
basic,2,center_biased,5x5,4,3140.0842102058705,18,950,0
basic,2,center_biased,5x5,5,1902.093296013949,12,43,0
basic,2,center_biased,5x5,6,3037.5217283857373,15,42,0
