encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,6x6,0,142.01145084396177,3,18,0
basic,1,uniform,6x6,1,140.76561751062843,3,18,0
basic,1,uniform,6x6,2,438.16991701460495,5,20,0
basic,1,uniform,6x6,3,434.3276947923828,5,27,0
basic,1,uniform,6x6,4,444.4379725701606,5,20,0
basic,1,uniform,6x6,5,443.2207503479383,5,17,0
basic,1,uniform,6x6,6,561.554728547587,6,20,0
basic,1,uniform,6x6,7,568.9088952142537,6,30,0
basic,1,uniform,6x6,8,570.0544507698093,6,36,0
basic,1,uniform,6x6,9,444.4140836812717,5,21,0
basic,1,uniform,6x6,10,440.62575034793826,5,24,0
basic,1,uniform,6x6,11,440.8015836812717,5,11,0
basic,1,uniform,6x6,12,234.2456561637664,4,15,0
basic,1,uniform,6x6,13,229.81426727487752,4,18,0
basic,1,uniform,6x6,14,444.421028125716,5,21,0
basic,1,uniform,6x6,15,443.1810281257161,5,20,0
basic,1,uniform,6x6,16,562.8033396586981,6,20,0
basic,1,uniform,6x6,17,145.19145084396175,3,15,0
basic,1,uniform,6x6,18,438.17963923682714,5,20,0
basic,1,uniform,6x6,19,438.2163059034939,5,18,0
basic,1,uniform,6x6,20,434.41547257016055,5,21,0
basic,1,uniform,6x6,21,444.42519479238285,5,21,0
basic,1,uniform,6x6,22,230.30315616376635,4,28,0
basic,1,uniform,6x6,23,443.20380590349384,5,18,0
basic,1,uniform,6x6,24,561.478339658698,6,25,0
basic,1,uniform,6x6,25,233.0295450526553,4,13,0
basic,1,uniform,6x6,26,231.57010060821085,4,27,0
basic,1,uniform,6x6,27,233.0253783859887,4,13,0
basic,1,uniform,6x6,28,440.6868614590495,5,19,0
basic,1,uniform,6x6,29,231.80371171932194,4,11,0
basic,1,uniform,6x6,30,444.51602812571605,5,14,0
basic,1,uniform,6x6,31,232.91343394154416,4,21,0
basic,1,uniform,6x6,32,444.3165836812716,5,27,0
basic,1,uniform,6x6,33,567.7805618809205,6,22,0
basic,1,uniform,6x6,34,567.8700063253648,6,15,0
basic,1,uniform,6x6,35,438.20797257016056,5,18,0
basic,1,uniform,6x6,36,230.90315616376643,4,28,0
basic,1,uniform,6x6,37,562.7202841031427,6,24,0
basic,1,uniform,6x6,38,442.01047257016046,5,14,0
basic,1,uniform,6x6,39,444.4026947923828,5,22,0
basic,1,uniform,6x6,40,140.296173066184,3,8,0
basic,1,uniform,6x6,41,441.8460281257162,5,26,0
basic,1,uniform,6x6,42,230.48982283043307,4,16,0
basic,1,uniform,6x6,43,66.61480043327401,2,11,0
basic,1,uniform,6x6,44,440.6951947923827,5,19,0
basic,1,uniform,6x6,45,231.6803783859886,4,20,0
basic,1,uniform,6x6,46,566.4794507698093,6,26,0
basic,1,uniform,6x6,47,235.35121171932195,4,25,0
basic,1,uniform,6x6,48,237.83871171932196,4,25,0
basic,1,uniform,6x6,49,234.3420450526553,4,8,0
basic,1,uniform,6x6,50,229.1437117193219,4,22,0
basic,1,uniform,6x6,51,230.47010060821094,4,17,0
basic,1,uniform,6x6,52,439.5004725701606,5,15,0
basic,1,uniform,6x6,53,433.16963923682727,5,21,0
basic,1,uniform,6x6,54,232.87398949709973,4,23,0
basic,1,uniform,6x6,55,438.1060281257161,5,25,0
basic,1,uniform,6x6,56,135.65700639951731,3,24,0
basic,1,uniform,6x6,57,230.49010060821092,4,15,0
basic,1,uniform,6x6,58,440.61741701460505,5,24,0
basic,1,uniform,6x6,59,435.6965836812717,5,19,0
basic,1,uniform,6x6,60,135.21811751062845,3,14,0
basic,1,uniform,6x6,61,704.8105165258723,7,25,0
basic,1,uniform,6x6,62,237.83871171932196,4,25,0
basic,1,uniform,6x6,63,136.52200639951732,3,10,0
basic,1,uniform,6x6,64,444.93047257016053,5,27,0
basic,1,uniform,6x6,65,567.8275063253648,6,18,0
basic,1,uniform,6x6,66,439.4707503479383,5,17,0
basic,1,uniform,6x6,67,441.86630590349387,5,23,0
basic,1,uniform,6x6,68,140.07533973285064,3,23,0
basic,1,uniform,6x6,69,440.5904725701606,5,26,0
basic,1,uniform,6x6,70,66.64730043327404,2,9,0
basic,1,uniform,6x6,71,563.8638952142537,6,32,0
basic,1,uniform,6x6,72,227.96593394154422,4,17,0
basic,1,uniform,6x6,73,143.93283973285065,3,16,0
basic,1,uniform,6x6,74,443.12713923682725,5,24,0
basic,1,uniform,6x6,75,230.33010060821084,4,26,0
basic,1,uniform,6x6,76,439.3785281257161,5,24,0
basic,1,uniform,6x6,77,235.45732283043304,4,18,0
basic,1,uniform,6x6,78,570.1744507698093,6,29,0
basic,1,uniform,6x6,79,231.69760060821085,4,18,0
basic,1,uniform,6x6,80,234.22426727487755,4,17,0
basic,1,uniform,6x6,81,141.45700639951733,3,14,0
basic,1,uniform,6x6,82,434.5032503479383,5,15,0
basic,1,uniform,6x6,83,443.09352812571615,5,25,0
basic,1,uniform,6x6,84,443.27463923682717,5,13,0
basic,1,uniform,6x6,85,443.14130590349384,5,23,0
basic,1,uniform,6x6,86,441.87158368127166,5,24,0
basic,1,uniform,6x6,87,566.5008396586982,6,24,0
basic,1,uniform,6x6,88,566.4372285475871,6,28,0
basic,1,uniform,6x6,89,569.0066729920313,6,23,0
basic,1,uniform,6x6,90,444.4607503479383,5,18,0
basic,1,uniform,6x6,91,444.37575034793826,5,24,0
basic,1,uniform,6x6,92,568.8991729920315,6,30,0
basic,1,uniform,6x6,93,445.67547257016054,5,20,0
basic,1,uniform,6x6,94,438.1724170146051,5,21,0
basic,1,uniform,6x6,95,445.69797257016046,5,19,0
basic,1,uniform,6x6,96,443.072417014605,5,26,0
basic,1,uniform,6x6,97,443.22630590349377,5,17,0
basic,1,uniform,6x6,98,438.1060281257161,5,25,0
basic,1,uniform,6x6,99,565.1163952142538,6,33,0
basic,1,center_biased,6x6,0,444.45797257016056,5,18,0
basic,1,center_biased,6x6,1,440.75186145904945,5,15,0
basic,1,center_biased,6x6,2,232.81898949709966,4,26,0
basic,1,center_biased,6x6,3,443.1865836812716,5,20,0
basic,1,center_biased,6x6,4,137.78617306618398,3,9,0
basic,1,center_biased,6x6,5,712.3091276369835,7,25,0
basic,1,center_biased,6x6,6,66.57674487771845,2,13,0
basic,1,center_biased,6x6,7,232.92898949709974,4,20,0
basic,1,center_biased,6x6,8,440.7290836812716,5,17,0
basic,1,center_biased,6x6,9,439.4224170146049,5,21,0
basic,1,center_biased,6x6,10,441.99186145904946,5,16,0
basic,1,center_biased,6x6,11,566.4458396586981,6,27,0
basic,1,center_biased,6x6,12,439.32408368127165,5,25,0
basic,1,center_biased,6x6,13,567.8316729920314,6,18,0
basic,1,center_biased,6x6,14,440.714917014605,5,18,0
basic,1,center_biased,6x6,15,233.05232283043313,4,11,0
basic,1,center_biased,6x6,16,235.47010060821088,4,17,0
basic,1,center_biased,6x6,17,441.9890836812716,5,16,0
basic,1,center_biased,6x6,18,569.022228547587,6,22,0
basic,1,center_biased,6x6,19,565.3316729920316,6,18,0
basic,1,center_biased,6x6,20,712.3602387480946,7,21,0
basic,1,center_biased,6x6,21,444.46380590349384,5,17,0
basic,1,center_biased,6x6,22,439.52463923682717,5,13,0
basic,1,center_biased,6x6,23,1450.4335405229758,10,31,0
basic,1,center_biased,6x6,24,440.726305903494,5,17,0
basic,1,center_biased,6x6,25,436.88991701460486,5,23,0
basic,1,center_biased,6x6,26,439.5288059034939,5,13,0
basic,1,center_biased,6x6,27,444.5146392368272,5,14,0
basic,1,center_biased,6x6,28,444.39575034793825,5,22,0
basic,1,center_biased,6x6,29,439.40963923682716,5,22,0
basic,1,center_biased,6x6,30,567.6419507698092,6,31,0
basic,1,center_biased,6x6,31,564.0944507698092,6,17,0
basic,1,center_biased,6x6,32,234.27260060821084,4,13,0
basic,1,center_biased,6x6,33,712.2769054147611,7,26,0
basic,1,center_biased,6x6,34,569.0277841031425,6,22,0
basic,1,center_biased,6x6,35,443.2051947923827,5,18,0
basic,1,center_biased,6x6,36,439.42963923682726,5,20,0
basic,1,center_biased,6x6,37,567.7636174364758,6,23,0
basic,1,center_biased,6x6,38,441.9849170146049,5,16,0
basic,1,center_biased,6x6,39,439.4651947923828,5,17,0
basic,1,center_biased,6x6,40,436.9521392368272,5,19,0
basic,1,center_biased,6x6,41,441.99630590349386,5,15,0
basic,1,center_biased,6x6,42,441.95241701460486,5,18,0
basic,1,center_biased,6x6,43,438.90019479238276,5,26,0
basic,1,center_biased,6x6,44,231.7667672748775,4,14,0
basic,1,center_biased,6x6,45,230.4601006082109,4,18,0
basic,1,center_biased,6x6,46,567.8758396586979,6,14,0
basic,1,center_biased,6x6,47,231.8292672748775,4,9,0
basic,1,center_biased,6x6,48,566.5788952142536,6,18,0
basic,1,center_biased,6x6,49,712.3291276369835,7,23,0
basic,1,center_biased,6x6,50,438.1585281257161,5,21,0
basic,1,center_biased,6x6,51,441.9693614590494,5,17,0
basic,1,center_biased,6x6,52,436.9890836812716,5,16,0
basic,1,center_biased,6x6,53,708.5055165258723,7,28,0
basic,1,center_biased,6x6,54,230.54371171932195,4,12,0
basic,1,center_biased,6x6,55,566.4047285475871,6,30,0
basic,1,center_biased,6x6,56,444.40547257016044,5,22,0
basic,1,center_biased,6x6,57,437.0288059034939,5,13,0
basic,1,center_biased,6x6,58,441.9904725701606,5,16,0
basic,1,center_biased,6x6,59,564.0136174364759,6,23,0
basic,1,center_biased,6x6,60,137.68283973285065,3,16,0
basic,1,center_biased,6x6,61,236.7017672748775,4,18,0
basic,1,center_biased,6x6,62,443.19241701460487,5,19,0
basic,1,center_biased,6x6,63,870.9289529578156,8,36,0
basic,1,center_biased,6x6,64,443.1682503479383,5,21,0
basic,1,center_biased,6x6,65,235.5409339415442,4,12,0
basic,1,center_biased,6x6,66,441.94797257016046,5,19,0
basic,1,center_biased,6x6,67,440.72352812571614,5,17,0
basic,1,center_biased,6x6,68,570.2397285475869,6,24,0
basic,1,center_biased,6x6,69,436.9465836812717,5,19,0
basic,1,center_biased,6x6,70,570.2325063253647,6,25,0
basic,1,center_biased,6x6,71,563.8950063253649,6,30,0
basic,1,center_biased,6x6,72,709.7555165258725,7,28,0
basic,1,center_biased,6x6,73,235.5253783859887,4,13,0
basic,1,center_biased,6x6,74,443.26186145904944,5,14,0
basic,1,center_biased,6x6,75,443.2065836812717,5,18,0
basic,1,center_biased,6x6,76,443.0776947923828,5,27,0
basic,1,center_biased,6x6,77,439.4790836812716,5,17,0
basic,1,center_biased,6x6,78,568.8905618809204,6,31,0
basic,1,center_biased,6x6,79,570.2650063253648,6,23,0
basic,1,center_biased,6x6,80,139.0247841772951,3,10,0
basic,1,center_biased,6x6,81,439.4721392368273,5,17,0
basic,1,center_biased,6x6,82,568.9855618809203,6,24,0
basic,1,center_biased,6x6,83,442.5804725701605,5,17,0
basic,1,center_biased,6x6,84,145.243673066184,3,12,0
basic,1,center_biased,6x6,85,562.8088952142537,6,20,0
basic,1,center_biased,6x6,86,566.5561174364759,6,20,0
basic,1,center_biased,6x6,87,443.29019479238275,5,12,0
basic,1,center_biased,6x6,88,441.99630590349386,5,15,0
basic,1,center_biased,6x6,89,443.1001947923828,5,26,0
basic,1,center_biased,6x6,90,444.4876947923826,5,16,0
basic,1,center_biased,6x6,91,570.2836174364758,6,21,0
basic,1,center_biased,6x6,92,443.2532503479383,5,15,0
basic,1,center_biased,6x6,93,141.53061751062845,3,9,0
basic,1,center_biased,6x6,94,441.942417014605,5,19,0
basic,1,center_biased,6x6,95,228.03815616376642,4,12,0
basic,1,center_biased,6x6,96,138.96533973285065,3,14,0
basic,1,center_biased,6x6,97,569.0830618809202,6,18,0
basic,1,center_biased,6x6,98,441.89991701460497,5,22,0
basic,1,center_biased,6x6,99,868.4250640689265,8,35,0
basic,1,edge_biased,6x6,0,570.1052841031425,6,33,0
basic,1,edge_biased,6x6,1,232.8470450526553,4,25,0
basic,1,edge_biased,6x6,2,230.30898949709973,4,27,0
basic,1,edge_biased,6x6,3,562.7636174364759,6,23,0
basic,1,edge_biased,6x6,4,447.94797257016046,5,34,0
basic,1,edge_biased,6x6,5,445.57380590349385,5,26,0
basic,1,edge_biased,6x6,6,69.09924487771849,2,12,0
basic,1,edge_biased,6x6,7,142.556173066184,3,22,0
