encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,6x6,95,709.0077387480945,7,35,0
basic,1,uniform,6x6,96,232.78843394154416,4,26,0
basic,1,uniform,6x6,97,572.750839658698,6,24,0
basic,1,uniform,6x6,98,-450.26555555555547,0,216,0
basic,1,uniform,6x6,99,-448.48777777777775,0,216,0
basic,1,uniform,6x6,100,714.3771831925391,7,50,0
basic,1,uniform,6x6,101,709.54079430365,7,41,0
basic,1,uniform,6x6,102,440.584917014605,5,26,0
basic,1,uniform,6x6,103,-446.5988888888889,0,216,0
basic,1,uniform,6x6,104,-449.09888888888884,0,216,0
basic,1,uniform,6x6,105,441.87713923682725,5,24,0
basic,1,uniform,6x6,106,571.3538952142536,6,33,0
basic,1,uniform,6x6,107,568.2336174364758,6,31,0
basic,1,uniform,6x6,108,705.9182943036501,7,32,0
basic,1,uniform,6x6,109,564.0377841031425,6,21,0
basic,1,uniform,6x6,110,567.5055618809203,6,37,0
basic,1,uniform,6x6,111,443.18825034793826,5,19,0
basic,1,uniform,6x6,112,439.4365836812716,5,20,0
basic,1,uniform,6x6,113,713.263572081428,7,44,0
basic,1,uniform,6x6,114,-450.26555555555547,0,216,0
basic,1,uniform,6x6,115,868.3450640689261,8,38,0
basic,1,uniform,6x6,116,232.8845450526553,4,20,0
basic,1,uniform,6x6,117,711.1032943036503,7,21,0
basic,1,uniform,6x6,118,-449.09888888888884,0,216,0
basic,1,uniform,6x6,119,440.62186145904946,5,23,0
basic,1,uniform,6x6,120,872.1628418467042,8,34,0
basic,1,uniform,6x6,121,444.2979725701605,5,29,0
basic,1,uniform,6x6,122,236.53954505265528,4,27,0
basic,1,uniform,6x6,123,562.7777841031426,6,22,0
basic,1,uniform,6x6,124,-407.21000000000004,0,216,0
basic,1,uniform,6x6,125,441.22713923682716,5,24,0
basic,1,uniform,6x6,126,708.3669054147613,7,37,0
basic,1,uniform,6x6,127,230.35176727487755,4,23,0
basic,1,uniform,6x6,128,563.8975063253647,6,31,0
basic,1,uniform,6x6,129,713.3352387480945,7,36,0
basic,1,uniform,6x6,130,871.0011751800375,8,31,0
basic,1,uniform,6x6,131,568.3508396586981,6,24,0
basic,1,uniform,6x6,132,-448.48777777777775,0,216,0
basic,1,uniform,6x6,133,563.5913952142537,6,28,0
basic,1,uniform,6x6,134,710.9249609703168,7,33,0
basic,1,uniform,6x6,135,565.8350063253648,6,26,0
basic,1,uniform,6x6,136,-449.09888888888884,0,216,0
basic,1,uniform,6x6,137,-401.37666666666667,0,216,0
basic,1,uniform,6x6,138,226.67898949709974,4,20,0
basic,1,uniform,6x6,139,439.2940836812717,5,28,0
basic,1,uniform,6x6,140,233.47093394154422,4,24,0
basic,1,uniform,6x6,141,570.1775063253647,6,28,0
basic,1,uniform,6x6,142,232.86398949709974,4,24,0
basic,1,uniform,6x6,143,566.4600063253648,6,26,0
basic,1,uniform,6x6,144,235.47732283043308,4,16,0
basic,1,uniform,6x6,145,566.1719507698092,6,43,0
basic,1,uniform,6x6,146,-401.37666666666667,0,216,0
basic,1,uniform,6x6,147,567.0552841031426,6,28,0
basic,1,uniform,6x6,148,441.84325034793835,5,26,0
basic,1,uniform,6x6,149,-449.09888888888884,0,216,0
basic,1,uniform,6x6,150,-446.5988888888889,0,216,0
basic,1,uniform,6x6,151,435.6996392368271,5,18,0
basic,1,uniform,6x6,152,567.515839658698,6,35,0
basic,1,uniform,6x6,153,570.0533396586981,6,35,0
basic,1,uniform,6x6,154,570.185839658698,6,28,0
basic,1,uniform,6x6,155,443.2674170146049,5,14,0
basic,1,uniform,6x6,156,234.15676727487755,4,20,0
basic,1,uniform,6x6,157,568.9655618809203,6,26,0
basic,1,uniform,6x6,158,569.0463952142536,6,20,0
basic,1,uniform,6x6,159,568.8213952142537,6,35,0
basic,1,uniform,6x6,160,568.285839658698,6,28,0
basic,1,uniform,6x6,161,441.0224170146048,5,36,0
basic,1,uniform,6x6,162,570.1675063253648,6,29,0
basic,1,uniform,6x6,163,571.2583396586981,6,37,0
basic,1,uniform,6x6,164,568.8558396586981,6,31,0
basic,1,uniform,6x6,165,710.9666276369835,7,28,0
basic,1,uniform,6x6,166,570.3116729920314,6,20,0
basic,1,uniform,6x6,167,709.6224609703168,7,37,0
basic,1,uniform,6x6,168,-449.09888888888884,0,216,0
basic,1,uniform,6x6,169,-448.48777777777775,0,216,0
basic,1,uniform,6x6,170,444.4068614590494,5,22,0
basic,1,uniform,6x6,171,568.9244507698094,6,29,0
basic,1,uniform,6x6,172,-448.48777777777775,0,216,0
basic,1,uniform,6x6,173,-449.09888888888884,0,216,0
basic,1,uniform,6x6,174,443.094917014605,5,25,0
basic,1,uniform,6x6,175,568.9388952142535,6,27,0
basic,1,uniform,6x6,176,236.57926727487757,4,24,0
basic,1,uniform,6x6,177,564.0008396586982,6,24,0
basic,1,uniform,6x6,178,-401.37666666666667,0,216,0
basic,1,uniform,6x6,179,436.9807503479383,5,16,0
basic,1,uniform,6x6,180,713.5352387480946,7,26,0
basic,1,uniform,6x6,181,442.41491701460495,5,28,0
basic,1,uniform,6x6,182,563.9966729920316,6,24,0
basic,1,uniform,6x6,183,-450.26555555555547,0,216,0
basic,1,uniform,6x6,184,568.7819507698092,6,37,0
basic,1,uniform,6x6,185,571.4316729920315,6,28,0
basic,1,uniform,6x6,186,66.61480043327401,2,11,0
basic,1,uniform,6x6,187,435.7646392368272,5,14,0
basic,1,uniform,6x6,188,566.3975063253647,6,31,0
basic,1,uniform,6x6,189,867.9561751800375,8,43,0
basic,1,uniform,6x6,190,-407.21000000000004,0,216,0
basic,1,uniform,6x6,191,441.834917014605,5,26,0
basic,1,uniform,6x6,192,565.284728547587,6,22,0
basic,1,uniform,6x6,193,-407.21000000000004,0,216,0
basic,1,uniform,6x6,194,569.013617436476,6,23,0
basic,1,uniform,6x6,195,231.541211719322,4,26,0
basic,1,uniform,6x6,196,444.22630590349377,5,32,0
basic,1,uniform,6x6,197,142.78617306618398,3,9,0
basic,1,uniform,6x6,198,864.0389529578154,8,35,0
basic,1,uniform,6x6,199,443.05825034793816,5,27,0
basic,1,center_biased,6x6,0,438.29158368127173,5,12,0
basic,1,center_biased,6x6,1,560.2286174364759,6,24,0
basic,1,center_biased,6x6,2,441.92547257016054,5,20,0
basic,1,center_biased,6x6,3,443.10797257016054,5,23,0
basic,1,center_biased,6x6,4,711.0791276369835,7,23,0
basic,1,center_biased,6x6,5,709.8757943036503,7,20,0
basic,1,center_biased,6x6,6,570.3216729920315,6,19,0
basic,1,center_biased,6x6,7,565.2069507698093,6,27,0
basic,1,center_biased,6x6,8,567.8486174364758,6,17,0
basic,1,center_biased,6x6,9,708.6555165258724,7,18,0
basic,1,center_biased,6x6,10,563.9894507698093,6,25,0
basic,1,center_biased,6x6,11,869.664230735593,8,34,0
basic,1,center_biased,6x6,12,560.1916729920315,6,27,0
basic,1,center_biased,6x6,13,230.46593394154422,4,17,0
basic,1,center_biased,6x6,14,873.3178418467041,8,41,0
basic,1,center_biased,6x6,15,-407.21000000000004,0,216,0
basic,1,center_biased,6x6,16,439.3701947923828,5,24,0
basic,1,center_biased,6x6,17,706.0732943036501,7,24,0
basic,1,center_biased,6x6,18,441.9071392368271,5,21,0
basic,1,center_biased,6x6,19,567.6986174364758,6,27,0
basic,1,center_biased,6x6,20,566.4358396586981,6,28,0
basic,1,center_biased,6x6,21,441.8899170146051,5,23,0
basic,1,center_biased,6x6,22,707.9749609703167,7,33,0
basic,1,center_biased,6x6,23,233.06093394154425,4,10,0
basic,1,center_biased,6x6,24,444.3646392368271,5,24,0
basic,1,center_biased,6x6,25,709.803572081428,7,25,0
basic,1,center_biased,6x6,26,567.5513952142537,6,32,0
basic,1,center_biased,6x6,27,441.94380590349385,5,19,0
basic,1,center_biased,6x6,28,567.8275063253648,6,18,0
basic,1,center_biased,6x6,29,1053.0531101657532,9,38,0
basic,1,center_biased,6x6,30,711.0055165258723,7,28,0
basic,1,center_biased,6x6,31,870.8956196244819,8,36,0
basic,1,center_biased,6x6,32,231.78954505265534,4,12,0
basic,1,center_biased,6x6,33,444.3843614590494,5,23,0
basic,1,center_biased,6x6,34,226.5031561637664,4,28,0
basic,1,center_biased,6x6,35,1043.2311657213088,9,27,0
basic,1,center_biased,6x6,36,439.2343614590494,5,33,0
basic,1,center_biased,6x6,37,1664.1210764718824,11,48,0
basic,1,center_biased,6x6,38,564.9427841031426,6,38,0
basic,1,center_biased,6x6,39,571.4102841031424,6,30,0
basic,1,center_biased,6x6,40,561.443339658698,6,26,0
basic,1,center_biased,6x6,41,566.4302841031426,6,28,0
basic,1,center_biased,6x6,42,566.544728547587,6,21,0
basic,1,center_biased,6x6,43,-446.5988888888889,0,216,0
basic,1,center_biased,6x6,44,571.2100063253647,6,41,0
basic,1,center_biased,6x6,45,714.8305165258723,7,23,0
basic,1,center_biased,6x6,46,566.4077841031426,6,29,0
basic,1,center_biased,6x6,47,-450.26555555555547,0,216,0
basic,1,center_biased,6x6,48,443.2065836812716,5,18,0
basic,1,center_biased,6x6,49,568.8850063253649,6,31,0
basic,1,center_biased,6x6,50,713.5805165258723,7,23,0
basic,1,center_biased,6x6,51,567.6305618809203,6,32,0
basic,1,center_biased,6x6,52,710.7980165258723,7,40,0
basic,1,center_biased,6x6,53,709.664683192539,7,35,0
basic,1,center_biased,6x6,54,562.7694507698093,6,22,0
basic,1,center_biased,6x6,55,438.2390836812717,5,16,0
basic,1,center_biased,6x6,56,439.4649170146049,5,18,0
basic,1,center_biased,6x6,57,1053.2339434990868,9,27,0
basic,1,center_biased,6x6,58,567.7372285475869,6,23,0
basic,1,center_biased,6x6,59,438.10880590349393,5,25,0
basic,1,center_biased,6x6,60,567.7413952142537,6,23,0
basic,1,center_biased,6x6,61,440.68519479238273,5,20,0
basic,1,center_biased,6x6,62,712.3405165258723,7,22,0
basic,1,center_biased,6x6,63,708.543572081428,7,26,0
basic,1,center_biased,6x6,64,570.219728547587,6,26,0
basic,1,center_biased,6x6,65,708.5110720814278,7,28,0
basic,1,center_biased,6x6,66,443.16963923682727,5,21,0
basic,1,center_biased,6x6,67,564.1000063253648,6,17,0
basic,1,center_biased,6x6,68,1051.8594990546424,9,35,0
basic,1,center_biased,6x6,69,571.5844507698093,6,18,0
basic,1,center_biased,6x6,70,441.96213923682717,5,18,0
basic,1,center_biased,6x6,71,231.72148949709975,4,17,0
basic,1,center_biased,6x6,72,567.845839658698,6,17,0
basic,1,center_biased,6x6,73,230.50565616376645,4,14,0
basic,1,center_biased,6x6,74,567.8544507698092,6,16,0
basic,1,center_biased,6x6,75,711.1188498592057,7,20,0
basic,1,center_biased,6x6,76,438.26186145904944,5,14,0
basic,1,center_biased,6x6,77,567.6483396586981,6,28,0
basic,1,center_biased,6x6,78,872.2050640689265,8,32,0
basic,1,center_biased,6x6,79,435.6640836812717,5,21,0
basic,1,center_biased,6x6,80,712.3052387480946,7,24,0
basic,1,center_biased,6x6,81,570.3472285475871,6,17,0
basic,1,center_biased,6x6,82,438.23797257016054,5,15,0
basic,1,center_biased,6x6,83,710.9549609703167,7,30,0
basic,1,center_biased,6x6,84,702.4988498592056,7,42,0
basic,1,center_biased,6x6,85,870.9478418467041,8,33,0
basic,1,center_biased,6x6,86,443.11741701460494,5,24,0
