encoding,food_count,food_pattern,grid,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,1,center_biased,10x10,100,-85.933125,213.72651211689535,0.06,0.23868325657594203,24.3,0.0,0
basic,1,corners,10x10,100,-148.61227,339.33237352017494,0.03,0.1714466079977653,54.2,0.0,0
basic,1,edge_biased,10x10,100,-86.35861999999999,213.53003426731945,0.04,0.19694638556693242,24.51,0.0,0
basic,1,uniform,10x10,100,-135.33925499999998,319.274421781651,0.05,0.21904291355759034,48.06,0.0,0
basic,2,center_biased,10x10,100,-129.4738606580012,321.66940961570805,0.18,0.43531017619043716,48.06,0.0,0
basic,2,corners,10x10,100,-97.43989499999999,245.32487310155574,0.05,0.21904291355759034,30.49,0.0,0
basic,2,edge_biased,10x10,100,-182.08445,392.9061320259631,0.1,0.30151134457776363,72.05,0.0,0
basic,2,uniform,10x10,100,-159.518945,358.53640030447724,0.06,0.23868325657594203,60.19,0.0,0
basic,3,center_biased,10x10,100,-148.57207670511713,363.04201480362354,0.28,0.5519478821831502,59.9,0.0,0
basic,3,corners,10x10,100,-170.089185,376.5080046239554,0.08,0.27265992434429076,66.23,0.0,0
basic,3,edge_biased,10x10,100,-131.761455,320.6079894735047,0.1,0.30151134457776363,48.45,0.0,0
basic,3,uniform,10x10,100,-164.3388356580012,378.9285397156077,0.21,0.4560480215720687,65.89,0.0,0
basic,5,center_biased,10x10,100,-155.4884063160024,382.2603317711905,0.39,0.5666666666666667,65.82,0.0,0
basic,5,corners,10x10,100,-154.815675,360.2141002290935,0.13,0.3379976689896312,60.37,0.0,0
basic,5,edge_biased,10x10,100,-160.8363509870018,380.26208231951153,0.25,0.5,66.13,0.0,0
basic,5,uniform,10x10,100,-173.0432003290006,396.48524015196494,0.28,0.47311561360663623,72.12,0.0,0
basic,8,center_biased,10x10,100,-139.01809598212483,388.88225583491965,0.68,0.763828739597001,65.75,0.0,0
basic,8,corners,10x10,100,-123.8720553290006,323.28005039574975,0.25,0.4578165130223676,48.39,0.0,0
basic,8,edge_biased,10x10,100,-108.90097131600238,302.0632367537499,0.29,0.5373898759633259,42.49,0.0,0
basic,8,uniform,10x10,100,-161.36824065800118,379.99750122766983,0.26,0.48450745582237936,66.09,0.0,0
basic,14,center_biased,10x10,100,-141.51235528593998,430.58773655754425,1.05,0.925235432774062,77.67,0.0,0
basic,14,corners,10x10,100,-176.04515769211892,416.0422972178515,0.43,0.6396811074214394,78.05,0.0,0
basic,14,edge_biased,10x10,100,-194.61167966612248,447.2252049736489,0.54,0.7305733185227709,89.76,0.0,0
basic,14,uniform,10x10,100,-231.16420263200473,484.0922292654674,0.59,0.6371495868001454,107.43,0.0,0
bodyaware,1,center_biased,10x10,100,-46.983639999999994,14.940112207683777,0.1,0.30151134457776363,6.0,0.0,0
bodyaware,1,corners,10x10,100,-50.219735,7.691418432402308,0.02,0.1407052941362897,6.0,0.0,0
bodyaware,1,edge_biased,10x10,100,-49.824605,9.35973458283331,0.03,0.1714466079977653,6.0,0.0,0
bodyaware,1,uniform,10x10,100,-48.076655,12.004306991742377,0.06,0.23868325657594203,6.0,0.0,0
bodyaware,2,center_biased,10x10,100,-46.588535,15.838124041782978,0.11,0.3144660377352201,6.0,0.0,0
bodyaware,2,corners,10x10,100,-49.09709,8.757592997392594,0.03,0.1714466079977653,6.0,0.0,0
bodyaware,2,edge_biased,10x10,100,-45.813599999999994,14.76712171540465,0.1,0.30151134457776363,6.0,0.0,0
bodyaware,2,uniform,10x10,100,-47.81652999999999,12.84587116485057,0.07,0.2564323999762428,6.0,0.0,0
bodyaware,3,center_biased,10x10,100,-35.39963164500296,30.05373842420695,0.32,0.5663992238766582,6.0,0.0,0
bodyaware,3,corners,10x10,100,-46.909095,12.976624679367388,0.07,0.2564323999762428,6.0,0.0,0
