episode,reward,score,steps,win,epsilon
1,-300.8,0,8,0,1.0
2,-300.3,0,3,0,0.995
3,-191.09999999999997,1,11,0,0.990025
4,-300.5,0,5,0,0.985074875
5,-300.8,0,8,0,0.9801495006250001
6,-300.8,0,8,0,0.9752487531218751
7,-300.20000000000005,0,2,0,0.9703725093562657
8,-300.6,0,6,0,0.9655206468094844
9,-300.20000000000005,0,2,0,0.960693043575437
10,-190.3,1,3,0,0.9558895783575597
11,-300.20000000000005,0,2,0,0.9511101304657719
12,-300.8,0,8,0,0.946354579813443
13,-300.3,0,3,0,0.9416228069143757
14,-190.5,1,5,0,0.9369146928798039
15,-300.90000000000003,0,9,0,0.9322301194154049
16,-300.40000000000003,0,4,0,0.9275689688183278
17,-190.8,1,8,0,0.9229311239742362
18,-300.20000000000005,0,2,0,0.918316468354365
19,-300.40000000000003,0,4,0,0.9137248860125932
20,-190.70000000000002,1,7,0,0.9091562615825302
21,-190.7,1,7,0,0.9046104802746175
22,-300.3,0,3,0,0.9000874278732445
23,-300.70000000000005,0,7,0,0.8955869907338783
24,-301.20000000000005,0,12,0,0.8911090557802088
25,-191.0,1,10,0,0.8866535105013078
26,-300.70000000000005,0,7,0,0.8822202429488013
27,-300.3,0,3,0,0.8778091417340573
28,-70.30000000000001,2,3,0,0.8734200960253871
29,-300.3,0,3,0,0.8690529955452602
30,-190.7,1,7,0,0.8647077305675338
31,-70.89999999999998,2,9,0,0.8603841919146962
32,-300.20000000000005,0,2,0,0.8560822709551227
33,-71.19999999999999,2,12,0,0.851801859600347
34,59.299999999999955,3,7,0,0.8475428503023453
35,-301.40000000000003,0,14,0,0.8433051360508336
36,-301.0,0,10,0,0.8390886103705794
37,-301.0,0,10,0,0.8348931673187264
38,-300.8,0,8,0,0.8307187014821328
39,-190.3,1,3,0,0.8265651079747222
40,-190.3,1,3,0,0.8224322824348486
41,-300.20000000000005,0,2,0,0.8183201210226743
42,-300.3,0,3,0,0.8142285204175609
43,-300.20000000000005,0,2,0,0.810157377815473
44,-300.3,0,3,0,0.8061065909263957
45,-300.8,0,8,0,0.8020760579717637
46,-190.40000000000003,1,4,0,0.798065677681905
47,-300.20000000000005,0,2,0,0.7940753492934954
48,-70.5,2,5,0,0.7901049725470279
49,-300.90000000000003,0,9,0,0.7861544476842928
50,-71.49999999999997,2,15,0,0.7822236754458713
51,-70.30000000000001,2,3,0,0.778312557068642
52,-190.20000000000002,1,2,0,0.7744209942832988
53,-190.60000000000002,1,6,0,0.7705488893118823
54,59.39999999999998,3,6,0,0.7666961448653229
55,-300.70000000000005,0,7,0,0.7628626641409962
56,-300.3,0,3,0,0.7590483508202912
57,-300.40000000000003,0,4,0,0.7552531090661897
58,-300.5,0,5,0,0.7514768435208588
59,-190.60000000000002,1,6,0,0.7477194593032545
60,-190.90000000000003,1,9,0,0.7439808620067382
61,-70.99999999999997,2,10,0,0.7402609576967045
62,-190.3,1,3,0,0.736559652908221
63,-190.3,1,3,0,0.7328768546436799
64,-300.40000000000003,0,4,0,0.7292124703704616
65,-300.20000000000005,0,2,0,0.7255664080186093
66,-300.3,0,3,0,0.7219385759785162
67,-191.69999999999993,1,17,0,0.7183288830986236
68,-190.20000000000002,1,2,0,0.7147372386831305
69,-300.3,0,3,0,0.7111635524897149
70,-70.80000000000001,2,8,0,0.7076077347272662
71,-300.70000000000005,0,7,0,0.7040696960536299
72,-70.5,2,5,0,0.7005493475733617
73,-192.0,1,20,0,0.697046600835495
74,-300.20000000000005,0,2,0,0.6935613678313175
75,-300.5,0,5,0,0.6900935609921609
76,-300.20000000000005,0,2,0,0.6866430931872001
77,-71.0,2,10,0,0.6832098777212641
78,-190.4,1,4,0,0.6797938283326578
79,-300.8,0,8,0,0.6763948591909945
80,-190.8,1,8,0,0.6730128848950395
81,-300.3,0,3,0,0.6696478204705644
82,-190.20000000000002,1,2,0,0.6662995813682115
83,-190.4,1,4,0,0.6629680834613705
84,-300.20000000000005,0,2,0,0.6596532430440636
85,-190.90000000000003,1,9,0,0.6563549768288433
86,-190.8,1,8,0,0.653073201944699
87,-71.1,2,11,0,0.6498078359349755
88,-71.0,2,10,0,0.6465587967553006
89,-70.5,2,5,0,0.6433260027715241
90,-190.9,1,9,0,0.6401093727576664
91,-300.40000000000003,0,4,0,0.6369088258938781
92,-300.90000000000003,0,9,0,0.6337242817644086
93,-300.20000000000005,0,2,0,0.6305556603555866
94,-300.40000000000003,0,4,0,0.6274028820538087
95,59.200000000000045,3,8,0,0.6242658676435396
96,-300.3,0,3,0,0.6211445383053219
97,-190.3,1,3,0,0.6180388156137953
98,-300.6,0,6,0,0.6149486215357263
99,-70.4,2,4,0,0.6118738784280476
100,-70.79999999999998,2,8,0,0.6088145090359074
101,-190.8,1,8,0,0.6057704364907278
102,-190.4,1,4,0,0.6027415843082742
103,-70.6,2,6,0,0.5997278763867329
104,198.29999999999995,4,17,0,0.5967292370047992
105,-300.5,0,5,0,0.5937455908197752
106,59.30000000000001,3,7,0,0.5907768628656763
107,-300.5,0,5,0,0.5878229785513479
108,-70.6,2,6,0,0.5848838636585911
109,59.30000000000001,3,7,0,0.5819594443402982
110,-71.0,2,10,0,0.5790496471185967
111,-300.40000000000003,0,4,0,0.5761543988830038
112,-190.70000000000002,1,7,0,0.5732736268885887
113,-300.20000000000005,0,2,0,0.5704072587541458
114,-71.29999999999995,2,13,0,0.567555222460375
115,-300.6,0,6,0,0.5647174463480732
116,-300.5,0,5,0,0.5618938591163328
117,-190.5,1,5,0,0.5590843898207511
118,-70.30000000000001,2,3,0,0.5562889678716474
119,-70.5,2,5,0,0.5535075230322891
120,-190.20000000000002,1,2,0,0.5507399854171277
121,-191.10000000000002,1,11,0,0.547986285490042
122,-190.89999999999998,1,9,0,0.5452463540625918
123,59.39999999999998,3,6,0,0.5425201222922789
124,-300.5,0,5,0,0.5398075216808175
125,-300.3,0,3,0,0.5371084840724134
126,-71.0,2,10,0,0.5344229416520513
127,-71.19999999999999,2,12,0,0.531750826943791
128,-190.4,1,4,0,0.5290920728090721
129,58.499999999999886,3,15,0,0.5264466124450268
130,-300.20000000000005,0,2,0,0.5238143793828016
131,-190.4,1,4,0,0.5211953074858876
132,-190.5,1,5,0,0.5185893309484582
133,-190.5,1,5,0,0.5159963842937159
134,-190.3,1,3,0,0.5134164023722473
135,-190.8,1,8,0,0.510849320360386
136,-190.3,1,3,0,0.5082950737585841
137,-190.3,1,3,0,0.5057535983897912
138,-190.4,1,4,0,0.5032248303978422
139,-190.3,1,3,0,0.500708706245853
140,-70.80000000000001,2,8,0,0.4982051627146237
141,-190.4,1,4,0,0.49571413690105054
142,-71.10000000000002,2,11,0,0.4932355662165453
143,-190.3,1,3,0,0.4907693883854626
144,-300.20000000000005,0,2,0,0.4883155414435353
145,-71.0,2,10,0,0.4858739637363176
146,-300.20000000000005,0,2,0,0.483444593917636
147,-71.39999999999995,2,14,0,0.4810273709480478
148,199.19999999999993,4,8,0,0.47862223409330756
149,-190.3,1,3,0,0.47622912292284103
150,58.999999999999886,3,10,0,0.4738479773082268
151,-70.5,2,5,0,0.47147873742168567
152,-191.09999999999997,1,11,0,0.46912134373457726
153,-300.40000000000003,0,4,0,0.46677573701590436
154,-300.3,0,3,0,0.46444185833082485
155,-71.19999999999996,2,12,0,0.46211964903917074
156,59.200000000000045,3,8,0,0.4598090507939749
157,-300.20000000000005,0,2,0,0.457510005540005
158,-190.79999999999998,1,8,0,0.45522245551230495
159,58.60000000000002,3,14,0,0.4529463432347434
160,-300.40000000000003,0,4,0,0.4506816115185697
161,-302.1,0,21,0,0.4484282034609769
162,-71.39999999999998,2,14,0,0.446186062443672
163,58.80000000000001,3,12,0,0.4439551321314536
164,-300.20000000000005,0,2,0,0.4417353564707963
165,-70.69999999999999,2,7,0,0.43952667968844233
166,-70.30000000000001,2,3,0,0.43732904629000013
167,-190.4,1,4,0,0.4351424010585501
168,-300.3,0,3,0,0.43296668905325736
169,-191.39999999999998,1,14,0,0.43080185560799106
170,-300.70000000000005,0,7,0,0.4286478463299511
171,-190.20000000000002,1,2,0,0.42650460709830135
172,59.5,3,5,0,0.42437208406280985
173,59.0,3,10,0,0.4222502236424958
174,-70.89999999999998,2,9,0,0.42013897252428334
175,-70.6,2,6,0,0.4180382776616619
176,-70.69999999999999,2,7,0,0.4159480862733536
177,-70.5,2,5,0,0.41386834584198684
178,59.39999999999998,3,6,0,0.4117990041127769
179,-190.60000000000002,1,6,0,0.40974000909221303
180,-70.6,2,6,0,0.40769130904675194
181,-191.49999999999994,1,15,0,0.40565285250151817
182,-300.40000000000003,0,4,0,0.4036245882390106
183,-70.4,2,4,0,0.4016064652978155
184,348.79999999999995,5,12,0,0.3995984329713264
185,59.60000000000002,3,4,0,0.3976004408064698
186,-190.3,1,3,0,0.39561243860243744
187,-70.89999999999998,2,9,0,0.3936343764094253
188,-71.19999999999996,2,12,0,0.39166620452737816
189,-190.20000000000002,1,2,0,0.3897078735047413
190,-190.3,1,3,0,0.3877593341372176
191,-70.30000000000001,2,3,0,0.3858205374665315
192,348.1999999999998,5,18,0,0.38389143477919885
193,-190.5,1,5,0,0.3819719776053028
194,58.19999999999982,3,18,0,0.3800621177172763
195,59.200000000000045,3,8,0,0.37816180712868996
196,-300.20000000000005,0,2,0,0.37627099809304654
197,-300.3,0,3,0,0.3743896431025813
198,-190.20000000000002,1,2,0,0.37251769488706843
199,-70.5,2,5,0,0.3706551064126331
200,199.10000000000002,4,9,0,0.36880183088056995
201,-300.40000000000003,0,4,0,0.3669578217261671
202,59.10000000000002,3,9,0,0.36512303261753626
203,-70.4,2,4,0,0.3632974174544486
204,-190.60000000000002,1,6,0,0.3614809303671764
205,-300.5,0,5,0,0.3596735257153405
206,59.10000000000002,3,9,0,0.3578751580867638
207,-300.5,0,5,0,0.35608578229633
208,-70.6,2,6,0,0.3543053533848483
209,-300.3,0,3,0,0.35253382661792404
210,59.39999999999998,3,6,0,0.3507711574848344
211,59.200000000000045,3,8,0,0.34901730169741024
212,59.5,3,5,0,0.3472722151889232
213,-70.79999999999998,2,8,0,0.3455358541129786
214,-190.3,1,3,0,0.3438081748424137
215,-190.4,1,4,0,0.3420891339682016
216,-190.20000000000002,1,2,0,0.3403786882983606
