encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,2000,1023.0504443607656,1218.9789733699117,7.2305,1.5641588942697813,15.8765,60.9,1218
basic,4,4,4x4,16,2000,1511.3939469376642,1319.0610895230898,10.29,2.8005037780201874,33.23,6.65,133
basic,5,5,5x5,25,2000,2268.0363328529293,1481.3203718363636,12.9975,4.181774428240286,58.4045,0.8999999999999999,18
basic,6,6,6x6,36,2000,3151.139017686489,2027.2464431761032,15.1895,5.170295516492647,88.514,0.0,0
bodyaware,3,3,3x3,9,2000,1031.0722228612642,1202.3345202079477,7.3185,1.3678425518396893,16.5185,58.3,1166
bodyaware,4,4,4x4,16,2000,1441.964264658618,1408.2904992208676,9.9165,2.8371733338418212,32.31,7.3,146
bodyaware,5,5,5x5,25,2000,1869.8309225150495,1191.8016324201792,11.9255,3.555878497072554,51.029,0.4,8
bodyaware,6,6,6x6,36,2000,2510.7955584228853,1515.168077322521,13.738,3.9570424678724723,71.7285,0.05,1
distance,3,3,3x3,9,2000,1005.5543782550427,1198.357522823197,7.2295,1.4435621517076844,16.8005,57.35,1147
distance,4,4,4x4,16,2000,1788.3987427875682,1823.389967277468,10.4305,3.109180479101491,35.8795,13.600000000000001,272
distance,5,5,5x5,25,2000,1943.9534945112052,1280.5862050564206,12.1075,3.7587242189174974,57.752,0.35000000000000003,7
distance,6,6,6x6,36,2000,2867.2077333193474,2062.0125955869466,14.52,4.684076246725984,87.683,0.35000000000000003,7
localgrid,3,3,3x3,9,2000,-295.65305555555557,17.774357246859978,0.125,0.33080162462936674,2.0,0.0,0
localgrid,4,4,4x4,16,2000,-294.93130724345036,20.424623694433716,0.1375,0.36008135093287585,3.0,0.0,0
localgrid,5,5,5x5,25,2000,-298.20294603290006,15.954953687027912,0.087,0.28543254171158194,3.0,0.0,0
localgrid,6,6,6x6,36,2000,-298.36442567691125,16.451616825206237,0.086,0.28748099530461235,4.0,0.0,0
raycasting,3,3,3x3,9,2000,1080.7177673249637,1270.9743226384205,7.2585,1.5773147152218638,16.181,63.14999999999999,1263
raycasting,4,4,4x4,16,2000,987.7890508770865,1184.114292109418,8.1605,3.6457352403488335,36.818,3.5999999999999996,72
raycasting,5,5,5x5,25,2000,739.8102716328376,1140.3293465197366,6.8915,5.28712630852538,88.609,0.0,0
raycasting,6,6,6x6,36,2000,224.91349318172203,1365.6910108081033,4.574,5.697785216923248,182.095,0.0,0
