encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,500,1046.250801543996,1216.2472645602752,7.336,1.4708605854136712,15.794,63.800000000000004,319
basic,4,4,4x4,16,500,1438.8549771328353,1249.2265690509787,10.13,2.7239566589355846,30.842,5.4,27
basic,5,5,5x5,25,500,1951.1549209994157,1166.7966760335164,12.192,3.5694001224952254,49.286,0.4,2
basic,6,6,6x6,36,500,2646.1931572082576,1567.1006902276138,14.108,4.14423519732429,68.514,0.0,0
basic,7,7,7x7,49,500,3174.604232471786,1952.8220580304205,15.408,4.675173847142158,97.538,0.0,0
basic,8,8,8x8,64,500,3825.7799408868564,2475.790799145356,16.82,5.4463681340599255,121.122,0.0,0
basic,10,10,10x10,100,500,4816.014261444441,3145.355127261505,19.022,6.131615563523016,176.346,0.0,0
bodyaware,3,3,3x3,9,500,1093.109366245003,1231.360361939521,7.452,1.2957832026293725,16.14,63.4,317
bodyaware,4,4,4x4,16,500,1488.0302115825386,1367.392559641199,10.14,2.7856632674606163,31.528,7.199999999999999,36
bodyaware,5,5,5x5,25,500,2138.1724052123614,1345.1818771250796,12.718,3.7291136449770894,51.31,0.6,3
bodyaware,6,6,6x6,36,500,2752.02797789126,1641.9794821136736,14.382,4.190369242534309,70.474,0.0,0
bodyaware,7,7,7x7,49,500,3300.3439196995278,1881.7014646357534,15.66,4.59026590538765,89.874,0.0,0
bodyaware,8,8,8x8,64,500,3881.551018978151,2232.960439397077,16.984,5.0396965267924925,109.218,0.0,0
bodyaware,10,10,10x10,100,500,5452.132795105836,3286.2254752193817,20.148,6.383383991455056,159.322,0.0,0
distance,3,3,3x3,9,500,1017.5623280132803,1174.2605388540437,7.376,1.3168493400418813,16.018,62.2,311
distance,4,4,4x4,16,500,1319.2247806079506,1093.7048628792998,9.876,2.697995990495438,30.78,5.0,25
distance,5,5,5x5,25,500,1942.8040190767415,1200.5212884406901,12.118,3.642335681734576,49.172,0.0,0
distance,6,6,6x6,36,500,2662.2651271869327,1608.6937415133818,14.08,4.1641662504182335,69.142,0.0,0
distance,7,7,7x7,49,500,3272.095530662159,1830.8468021948067,15.676,4.407024816752335,88.14,0.0,0
distance,8,8,8x8,64,500,3997.4668174922126,2170.137027882102,17.294,4.829307239846483,111.494,0.0,0
distance,10,10,10x10,100,500,5212.530594351736,3034.7044416511894,19.692,6.078077166677649,154.534,0.0,0
localgrid,3,3,3x3,9,500,1039.5668838023448,1173.4332204523862,7.49,1.2842111963355505,16.272,66.4,332
localgrid,4,4,4x4,16,500,1411.2611878843356,1154.3775138079482,10.156,2.5291217672994026,32.6,5.2,26
localgrid,5,5,5x5,25,500,2065.954698682178,1233.4203332069578,12.576,3.4222284106396486,52.104,0.6,3
localgrid,6,6,6x6,36,500,2943.6610400673585,1509.8535474868452,14.974,3.7052370454704042,75.06,0.0,0
localgrid,7,7,7x7,49,500,3548.522891127258,1829.5259671733108,16.362,4.273110687765974,93.756,0.0,0
localgrid,8,8,8x8,64,500,4324.92359323223,2443.339824265528,17.798,5.91194538171597,130.61,0.0,0
localgrid,10,10,10x10,100,500,5871.214489181224,3417.5950144623826,20.872,7.04946849145551,190.214,0.0,0
raycasting,3,3,3x3,9,500,554.0354282433624,1024.9355900808737,5.63,2.2232827017596954,12.446,31.8,159
raycasting,4,4,4x4,16,500,564.9832655689129,679.7101697645695,6.764,2.7171805498127224,24.57,0.6,3
raycasting,5,5,5x5,25,500,544.0097473063728,717.8255740200428,6.502,3.629924062207744,58.346,0.0,0
raycasting,6,6,6x6,36,500,307.8063105861065,892.2406705981602,5.454,4.337916439729579,125.186,0.0,0
raycasting,7,7,7x7,49,500,-60.44278944971932,1077.5313323444184,4.384,4.601618605183959,227.856,0.0,0
raycasting,8,8,8x8,64,500,-350.07741932039767,1313.176930630764,4.07,4.78862839692617,335.876,0.0,0
raycasting,10,10,10x10,100,500,-1473.470660866229,1437.7908380876656,2.508,4.0172394034771814,640.38,0.0,0
