encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,uniform,4x4,93,1051.6421379435312,9,40,0
basic,1,uniform,4x4,94,1668.111076471882,11,29,0
basic,1,uniform,4x4,95,2165.9080158174743,13,44,0
basic,1,uniform,4x4,96,562.0545896586982,6,23,0
basic,1,uniform,4x4,97,2443.4254392476155,14,41,0
basic,1,uniform,4x4,98,1664.2323264718823,11,35,0
basic,1,uniform,4x4,99,1666.2429514718824,11,28,0
basic,1,center_biased,4x4,0,1664.4235764718821,11,24,0
basic,1,center_biased,4x4,1,2162.3955158174745,13,34,0
basic,1,center_biased,4x4,2,1905.4362960139492,12,25,0
basic,1,center_biased,4x4,3,1446.7133321896424,10,25,0
basic,1,center_biased,4x4,4,1444.7933321896426,10,27,0
basic,1,center_biased,4x4,5,1450.4383321896423,10,25,0
basic,1,center_biased,4x4,6,1454.1464571896424,10,27,0
basic,1,center_biased,4x4,7,1664.340451471882,11,27,0
basic,1,center_biased,4x4,8,1664.3873264718823,11,27,0
basic,1,center_biased,4x4,9,1662.551701471882,11,24,0
basic,1,center_biased,4x4,10,1450.1552071896426,10,38,0
basic,1,center_biased,4x4,11,1668.1885764718822,11,25,0
basic,1,center_biased,4x4,12,571.593964658698,6,15,0
basic,1,center_biased,4x4,13,1046.274637943531,9,28,0
basic,1,center_biased,4x4,14,707.298085970317,7,21,0
basic,1,center_biased,4x4,15,868.6354112911486,8,19,0
basic,1,center_biased,4x4,16,2443.635439247616,14,30,0
basic,1,center_biased,4x4,17,1444.9058321896425,10,22,0
basic,1,center_biased,4x4,18,862.9972862911486,8,20,0
basic,1,center_biased,4x4,19,1670.048576471882,11,24,0
basic,1,center_biased,4x4,20,872.3635362911486,8,19,0
basic,1,center_biased,4x4,21,1446.7783321896425,10,21,0
basic,1,center_biased,4x4,22,1448.5720821896423,10,26,0
basic,1,center_biased,4x4,23,1664.355451471882,11,28,0
basic,1,center_biased,4x4,24,1666.0948264718822,11,35,0
basic,1,center_biased,4x4,25,1049.942762943531,9,29,0
basic,1,center_biased,4x4,26,2439.5710642476156,14,43,0
basic,1,center_biased,4x4,27,866.6029112911488,8,26,0
basic,1,center_biased,4x4,28,709.2187109703168,7,18,0
basic,1,center_biased,4x4,29,1052.059637943531,9,17,0
basic,1,center_biased,4x4,30,1446.6202071896425,10,29,0
basic,1,center_biased,4x4,31,564.0514646586981,6,18,0
basic,1,center_biased,4x4,32,3039.3418533857375,15,41,1
basic,1,center_biased,4x4,33,1442.7577071896426,10,34,0
basic,1,center_biased,4x4,34,564.1033396586981,6,15,0
basic,1,center_biased,4x4,35,1668.009201471882,11,32,0
basic,1,center_biased,4x4,36,1668.0610764718822,11,29,0
basic,1,center_biased,4x4,37,1450.4189571896425,10,26,0
basic,1,center_biased,4x4,38,1048.2858879435312,9,20,0
basic,1,center_biased,4x4,39,13567.849283640498,16,46,1
basic,1,center_biased,4x4,40,1048.3015129435312,9,20,0
basic,1,center_biased,4x4,41,1442.8914571896428,10,30,0
basic,1,center_biased,4x4,42,1662.602951471882,11,22,0
basic,1,center_biased,4x4,43,872.3922862911486,8,18,0
basic,1,center_biased,4x4,44,709.2855859703168,7,16,0
basic,1,center_biased,4x4,45,438.3070697923828,5,10,0
basic,1,center_biased,4x4,46,709.2212109703167,7,19,0
basic,1,center_biased,4x4,47,436.1901947923827,5,22,0
basic,1,center_biased,4x4,48,1905.495046013949,12,21,0
basic,1,center_biased,4x4,49,2166.1848908174748,13,36,0
basic,1,center_biased,4x4,50,441.9851947923828,5,15,0
basic,1,center_biased,4x4,51,1664.1573264718822,11,35,0
basic,1,center_biased,4x4,52,1670.161076471882,11,19,0
basic,1,center_biased,4x4,53,705.5518359703167,7,15,0
basic,1,center_biased,4x4,54,229.33371171932197,4,8,0
basic,1,center_biased,4x4,55,864.8591612911488,8,21,0
basic,1,center_biased,4x4,56,13569.541783640498,16,48,1
basic,1,center_biased,4x4,57,1053.9590129435308,9,18,0
basic,1,center_biased,4x4,58,1448.2089571896424,10,42,0
basic,1,center_biased,4x4,59,565.9008396586981,6,19,0
basic,1,center_biased,4x4,60,1046.160262943531,9,31,0
basic,1,center_biased,4x4,61,1454.2002071896425,10,26,0
basic,1,center_biased,4x4,62,1049.8477629435313,9,36,0
basic,1,center_biased,4x4,63,1450.5477071896423,10,20,0
basic,1,center_biased,4x4,64,1667.865451471882,11,37,0
basic,1,center_biased,4x4,65,1446.7420821896426,10,24,0
basic,1,center_biased,4x4,66,872.0766612911486,8,33,0
basic,1,center_biased,4x4,67,1666.2785764718822,11,26,0
basic,1,center_biased,4x4,68,870.3822862911486,8,24,0
basic,1,center_biased,4x4,69,870.4779112911488,8,21,0
basic,1,center_biased,4x4,70,1448.5083321896425,10,28,0
basic,1,center_biased,4x4,71,876.0047862911485,8,23,0
basic,1,center_biased,4x4,72,1899.732546013949,12,31,0
basic,1,center_biased,4x4,73,1450.4158321896425,10,26,0
basic,1,center_biased,4x4,74,1454.1002071896426,10,31,0
basic,1,center_biased,4x4,75,705.2855859703168,7,26,0
basic,1,center_biased,4x4,76,1450.3577071896427,10,29,0
basic,1,center_biased,4x4,77,870.3054112911486,8,27,0
basic,1,center_biased,4x4,78,1664.0767014718826,11,44,0
basic,1,center_biased,4x4,79,711.1930859703168,7,14,0
basic,1,center_biased,4x4,80,864.9604112911488,8,14,0
basic,1,center_biased,4x4,81,1051.977137943531,9,24,0
basic,1,center_biased,4x4,82,1054.0033879435312,9,22,0
basic,1,center_biased,4x4,83,1047.7815129435314,9,42,0
basic,1,center_biased,4x4,84,1901.6950460139492,12,26,0
basic,1,center_biased,4x4,85,1671.867951471882,11,28,0
basic,1,center_biased,4x4,86,1668.1217014718823,11,27,0
basic,1,center_biased,4x4,87,876.1066612911486,8,20,0
basic,1,center_biased,4x4,88,567.8989646586981,6,12,0
basic,1,center_biased,4x4,89,870.4679112911488,8,22,0
basic,1,center_biased,4x4,90,13565.853033640498,16,50,1
basic,1,center_biased,4x4,91,1049.9671379435313,9,30,0
basic,1,center_biased,4x4,92,1450.3939571896424,10,26,0
basic,1,center_biased,4x4,93,872.3954112911485,8,18,0
basic,1,center_biased,4x4,94,872.3822862911486,8,19,0
basic,1,center_biased,4x4,95,1668.1573264718818,11,25,0
