encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,1000,1160.062401318511,1163.0542956999066,7.63,1.1646701062775056,39.431,75.3,753
basic,5,5,5x5,25,1000,3904.061687421695,1886.731274320302,17.339,4.241942134573864,121.214,7.5,75
basic,8,8,8x8,64,1000,5586.446070654602,4864.230960711291,19.253,11.167439397762701,273.979,0.0,0
basic,10,10,10x10,100,1000,3560.7200216608317,6765.076908549037,14.122,13.836783317396156,482.315,0.0,0
bodyaware,3,3,3x3,9,1000,1228.9257935602773,1241.179025041615,7.762,1.139585299420212,29.955,81.10000000000001,811
bodyaware,5,5,5x5,25,1000,3033.4525705428578,2754.034832703152,13.481,8.445647871416845,127.168,7.199999999999999,72
bodyaware,8,8,8x8,64,1000,1300.683481124321,7468.214914739873,15.42,12.034551525936914,699.823,0.0,0
bodyaware,10,10,10x10,100,1000,-2834.670789516021,12910.010370582477,13.787,12.956446291344735,1244.793,0.0,0
distance,3,3,3x3,9,1000,559.3468356880736,1198.584780351995,4.281,3.9022129960147285,38.059,46.400000000000006,464
distance,5,5,5x5,25,1000,3922.77639280445,1914.7328020666414,17.045,4.850206129588669,98.918,5.3,53
distance,8,8,8x8,64,1000,7039.676823818159,3713.005535863087,23.168,6.9808673177842655,186.995,0.0,0
distance,10,10,10x10,100,1000,4038.5613618067964,5944.742562866171,15.562,12.521459297659476,390.63,0.0,0
localgrid,3,3,3x3,9,1000,-222.02362009911215,95.8968713442919,0.358,0.9003591764660626,52.7,0.2,2
localgrid,5,5,5x5,25,1000,3680.0249432044675,2578.3194708210744,17.789,7.053951887930427,349.044,13.700000000000001,137
localgrid,8,8,8x8,64,1000,7309.333527598238,6692.5897950535855,21.278,13.80374077050346,287.024,0.0,0
localgrid,10,10,10x10,100,1000,5913.761780479247,8073.644512501014,17.542,16.082751347045402,432.288,0.0,0
raycasting,3,3,3x3,9,1000,-25.84677333074919,565.7722736056785,1.667,2.8562684168805417,52.352,9.5,95
raycasting,5,5,5x5,25,1000,3301.4916835180575,2574.665000345349,17.052,7.900234788264819,419.846,16.3,163
raycasting,8,8,8x8,64,1000,1132.1244035209027,4644.443825409477,6.663,11.577541641923409,411.747,0.0,0
raycasting,10,10,10x10,100,1000,-1513.6687214891535,1857.9597861839823,1.028,4.220074054447986,608.817,0.0,0
