encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,15000,1108.779567670253,1147.3907772604578,7.883,0.9527004649302907,19.627,87.01333333333334,13052
basic,4,4,4x4,16,15000,3128.4276563153694,2113.929361651281,13.3508,2.3273949266242395,46.01573333333333,31.46,4719
basic,5,5,5x5,25,15000,4177.856925776906,1904.795918883417,17.7866,3.989200590940125,85.60266666666666,9.273333333333333,1391
basic,6,6,6x6,36,15000,5684.4057322480785,2594.790444721142,20.8248,5.241113391062242,126.3044,0.4066666666666666,61
bodyaware,3,3,3x3,9,15000,1068.878074169701,1211.2475936224837,7.441,1.4061238016653068,16.977,67.66666666666666,10150
bodyaware,4,4,4x4,16,15000,2154.2378716469784,1878.4700810920338,11.473533333333334,2.9315307333174814,36.145066666666665,16.526666666666667,2479
bodyaware,5,5,5x5,25,15000,2822.154605702106,1721.220286139473,14.475666666666667,4.351934877503814,61.65646666666667,2.106666666666667,316
bodyaware,6,6,6x6,36,15000,3754.7473649656768,2365.6960662831366,16.632133333333332,5.351378320789669,86.75013333333334,0.06,9
distance,3,3,3x3,9,15000,877.3818575884821,1333.244469395319,5.705466666666666,3.57175502302232,27.7698,57.333333333333336,8600
distance,4,4,4x4,16,15000,2204.4586859606943,2261.2829564227077,10.292266666666666,5.623938902122548,55.83733333333333,22.34,3351
distance,5,5,5x5,25,15000,3752.2071561467537,2268.079301028379,16.203866666666666,6.192764197360969,90.97326666666666,7.340000000000001,1101
distance,6,6,6x6,36,15000,4624.1729373639355,3261.782942664297,17.58,8.686761804917676,139.4384,0.26,39
localgrid,3,3,3x3,9,15000,1150.631552260759,1184.6250825238385,7.782066666666666,0.9353591406533011,25.626533333333334,73.13333333333333,10970
localgrid,4,4,4x4,16,15000,3547.071720732684,2387.1875239145975,13.382666666666667,2.725618245807171,53.0866,42.013333333333335,6302
localgrid,5,5,5x5,25,15000,4609.157036006218,2460.994405912314,18.404733333333333,5.132603027361261,104.8676,21.173333333333332,3176
localgrid,6,6,6x6,36,15000,6454.820078330074,4351.936723827151,21.662066666666668,7.64828744331759,155.72133333333332,4.306666666666667,646
raycasting,3,3,3x3,9,15000,632.1657851938576,1108.1574524305768,5.7096,2.5754954316495873,12.4944,38.6,5790
raycasting,4,4,4x4,16,15000,2522.4182898859913,2300.43474970589,11.328866666666666,4.4774899862155895,48.458466666666666,26.193333333333335,3929
raycasting,5,5,5x5,25,15000,4488.838036654451,2661.6034713234185,18.250733333333333,5.365338006036236,147.26953333333333,22.346666666666668,3352
raycasting,6,6,6x6,36,15000,1598.4496062588225,3808.1642014003246,10.493,10.333324868607846,396.644,0.6333333333333333,95
