encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,5000,1015.6481306584138,1193.3169393636238,7.2832,1.3635870466995443,15.8864,57.24,2862
basic,4,4,4x4,16,5000,621.3567241571079,510.4584704498449,7.3126,2.0082051233784624,22.574,0.44,22
basic,5,5,5x5,25,5000,231.40672786868225,171.41322155299787,5.1674,1.057166382435628,19.7582,0.0,0
basic,6,6,6x6,36,5000,145.51711262028888,159.5899561646616,4.6162,0.9981466923072341,20.677,0.0,0
bodyaware,3,3,3x3,9,5000,1078.5862443293202,1230.4788107227105,7.4012,1.3304858505522343,16.021,62.06,3103
bodyaware,4,4,4x4,16,5000,690.5561113792734,312.9094972780208,7.8462,1.5247985316468609,24.6222,0.0,0
bodyaware,5,5,5x5,25,5000,554.4867034393991,198.48029788067285,7.2074,1.1867042147808682,27.8866,0.0,0
bodyaware,6,6,6x6,36,5000,539.1915835282318,178.56725169023466,7.1026,1.0893624659021535,32.6336,0.0,0
distance,3,3,3x3,9,5000,1132.7575486667272,1250.7430104258485,7.5416,1.3106536547084142,16.3002,69.28,3464
distance,4,4,4x4,16,5000,1279.8930820052506,1186.3025509861195,9.5942,2.689567458648865,31.493,4.72,236
distance,5,5,5x5,25,5000,1575.4420175501593,901.1514987282276,11.0592,3.0625432558967804,46.1384,0.02,1
distance,6,6,6x6,36,5000,1577.6866661373297,985.9538540790167,10.9586,3.3657616835334743,52.4138,0.0,0
localgrid,3,3,3x3,9,5000,1073.4587712780583,1231.6404897363918,7.3694,1.3385447248396614,16.3476,59.96,2998
localgrid,4,4,4x4,16,5000,381.7133724181445,213.58863621007364,6.1404,1.303774445815346,19.3402,0.0,0
localgrid,5,5,5x5,25,5000,171.97598480139763,152.34745157306708,4.8052,0.9091855056349776,18.1734,0.0,0
localgrid,6,6,6x6,36,5000,99.89062007259012,143.32750653251026,4.3564,0.8615842997067092,20.0076,0.0,0
raycasting,3,3,3x3,9,5000,1112.5161142322656,1238.6508056259484,7.499,1.253280951195113,16.9158,64.5,3225
raycasting,4,4,4x4,16,5000,346.53157725382334,204.56460692902263,5.9248,1.2833839545806158,20.233,0.0,0
raycasting,5,5,5x5,25,5000,70.8209981916866,134.34732538576785,4.2232,0.8006934382124025,19.991,0.0,0
raycasting,6,6,6x6,36,5000,-47.67591111333055,88.1035461159374,3.3716,0.6994364032965743,19.5836,0.0,0
