encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,2000,1094.1852718625294,1256.4906756374558,7.4405,1.3395360870332051,15.774,63.24999999999999,1265
basic,4,4,4x4,16,2000,1525.8868245440244,1475.9730996167673,10.26,2.851046164501033,31.2725,8.4,168
basic,5,5,5x5,25,2000,2086.5238926200213,1303.736318997019,12.7435,3.6454564084916825,51.149,0.95,19
basic,6,6,6x6,36,2000,2856.469883594439,1689.9666096458814,14.8075,4.212993995866197,73.374,0.05,1
bodyaware,3,3,3x3,9,2000,-294.27325,16.135249690624242,0.1175,0.3220956733820024,2.0,0.0,0
bodyaware,4,4,4x4,16,2000,-293.47439318095036,18.17393571573862,0.1305,0.3528909406714825,3.0,0.0,0
bodyaware,5,5,5x5,25,2000,1606.6751321285944,775.2748063360516,11.4065,2.749188383575082,46.0515,0.0,0
bodyaware,6,6,6x6,36,2000,-296.22682809870014,14.704351454454393,0.08,0.2822052797343713,4.0,0.0,0
distance,3,3,3x3,9,2000,-294.30325,16.14559241758434,0.1175,0.3220956733820027,2.0,0.0,0
distance,4,4,4x4,16,2000,-293.02956508225014,18.04797258267553,0.1395,0.3536980366789943,3.0,0.0,0
distance,5,5,5x5,25,2000,1481.4594356964126,1110.6107587685715,10.589,4.056760734111257,50.047,0.0,0
distance,6,6,6x6,36,2000,-295.8010520658001,15.1132709911942,0.089,0.291755995277544,4.0,0.0,0
localgrid,3,3,3x3,9,2000,917.7117999870251,1162.0748404657663,6.443,2.7434493356226852,117.363,50.64999999999999,1013
localgrid,4,4,4x4,16,2000,1462.8943946317486,1509.1085947718943,9.606,3.6341942275890977,101.3705,8.4,168
localgrid,5,5,5x5,25,2000,1827.2802211150197,1037.5512262265781,12.0295,3.21010625074475,62.2285,0.05,1
localgrid,6,6,6x6,36,2000,2357.283822306874,1307.9754009609776,13.537,3.661602745702169,80.47,0.0,0
raycasting,3,3,3x3,9,2000,-293.48275,17.08067628018852,0.134,0.3407375104468438,2.0,0.0,0
raycasting,4,4,4x4,16,2000,-274.7415837214398,107.59573959663987,0.229,0.7083854211885476,21.0995,0.0,0
raycasting,5,5,5x5,25,2000,1458.4904522455136,643.895095646325,10.7495,2.436538140283162,134.245,0.0,0
raycasting,6,6,6x6,36,2000,-295.2308020658001,15.824973685280199,0.099,0.3053614625511966,4.0,0.0,0
