encoding,grid_cols,grid_rows,grid_label,grid_area,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,3,3,3x3,9,5000,1134.3336966367824,1258.3652566843286,7.511,1.3156843105551606,16.157,66.10000000000001,3305
basic,4,4,4x4,16,5000,1566.1679073369075,1416.3644665430802,10.3608,2.689176396954798,31.8704,7.5,375
basic,5,5,5x5,25,5000,2083.6569160979325,1270.4748199527346,12.5978,3.532553035155911,50.989,0.62,31
basic,6,6,6x6,36,5000,2706.9745912504554,1545.5266951984522,14.285,4.004520225501083,70.7552,0.0,0
bodyaware,3,3,3x3,9,5000,-295.5529622222222,17.830225645380064,0.1262,0.3321078426111386,2.0,0.0,0
bodyaware,4,4,4x4,16,5000,-295.27996746844025,19.596284824509294,0.1324,0.34942046152420203,3.0,0.0,0
bodyaware,5,5,5x5,25,5000,1984.7689930523143,1064.0892702372635,12.348,3.357193790955479,49.5016,0.0,0
bodyaware,6,6,6x6,36,5000,-298.07640122708904,16.89620177041034,0.0908,0.29355168968838125,4.0,0.0,0
distance,3,3,3x3,9,5000,-295.6439777777778,17.83916553394838,0.126,0.33188255333150807,2.0,0.0,0
distance,4,4,4x4,16,5000,-294.76422662108035,20.6814434982287,0.1448,0.3664148086013899,3.0,0.0,0
distance,5,5,5x5,25,5000,1354.4029194241514,931.931943234635,10.1644,3.3735513646248143,43.6644,0.02,1
distance,6,6,6x6,36,5000,-298.2492908122935,16.6858837811977,0.0856,0.2882520734558043,4.0,0.0,0
localgrid,3,3,3x3,9,5000,1054.5719311194046,1187.265738336456,7.4822,1.2237576053023365,16.3428,62.86000000000001,3143
localgrid,4,4,4x4,16,5000,1594.2111901865728,1377.4992468229755,10.5374,2.596603494941421,33.1858,7.7,385
localgrid,5,5,5x5,25,5000,2196.1083587806993,1195.9111999846673,13.0058,3.2750437466251405,54.2684,0.4,20
localgrid,6,6,6x6,36,5000,2900.4598713967944,1518.34344559664,14.87,3.7870791374988118,75.7958,0.0,0
raycasting,3,3,3x3,9,5000,-296.3300511111111,17.017073967067393,0.1122,0.31564392314322043,2.0,0.0,0
raycasting,4,4,4x4,16,5000,-220.5225597185854,471.68191009843014,0.5316,2.0628748218217465,6.9528,0.32,16
raycasting,5,5,5x5,25,5000,2170.893353746316,1226.965130480636,12.9136,3.385266170540961,69.9452,0.22,11
raycasting,6,6,6x6,36,5000,-297.76382919742025,17.610550152936355,0.0944,0.3044785401900882,4.0,0.0,0
